Timestamp,Prolific ID,Restaurant A or B?,Restaurant A or B?,Restaurant A or B?,Restaurant A or B?,Restaurant A or B?,Restaurant A or B?,Restaurant A or B?,Restaurant A or B?,Restaurant A or B?,Restaurant A or B?,Restaurant A or B?,Restaurant A or B?,Restaurant A or B?,Restaurant A or B?
4/18/2024 16:30:28,6268a3f5379f921275a284f1,"A, because it is closer.","A, because it is closer.","A, because it seems closer.","A, because it would take less time to get there.","A, because it is closer.","B, because it seems more convenient.","A, because it is closer.","A, because it is a little closer.","B, because it is a little closer.","B, because it is closer.","A, because it seems a bit closer.","B, because it seems closer.","A, because it is closer.","B, because it is closer."
4/18/2024 16:31:07,607a5ed0177b7ac609ccdb2b,A because it looks like there is a more direct route to get to it,B because it looks like a straight shot ,A because B looks off map,B because it looks like it is near more major roadways and also in a busy neighborhood so there could be things to do after eating.,B because it looks easy to get to,B because it's closer,B because it looks like a straight shot,A because it's closer,B because it's closer,A because it looks like its not on a busy main road like B is,A because maybe now I want to go somewhere less busy,B because it's closer,A because I feel like it,B because I could possibly walk
4/18/2024 16:31:40,644013b160c84c519d35d1f4,"B, because I can't see if A is on the map or further away","B, because the route appears to be direct","B, because it looks closer and still major roads without a lot of backtracking","B, because it looks like the route is more direct","B, because the route is more direct","B, because it is closer and it is a direct route","B, because the route still looks more direct","A, because I can't tell were B is, in the middle of a park? ","B, because it is closer","B, because it looks closer","A, because it appears to be closer","B, because it seems to be closer and similar route","B, because the route is more direct","B, because it is on this side of the river and close"
4/18/2024 16:33:42,5f4859d23306481f0f0dd2a5,B because it looks easier,A because it looks like it is closer,"B, because it looks like a nore direct.path","A, because it is closer","B, because it looks like thrre arr more roads to.it","B, because it l9oks closer ",A because it is closer,"A, because it is closer",B because it is closer,B because it is more direct path on street,"A, because it l99ks closer ","B, because it l9oks closer",A because it lookes like it is closer,"B, because if im walking becasue it is closer⁰"
4/18/2024 16:34:13,5dc0a5b5b4cc78050437f1b4,B because this was another random choice due to the distance ,A because this was another random choice due to the distance ,A because this was a random choice due to the distance ,A because it looks closer ,B because it's a random choice due to the distance looking to be about the same ,B because it's closer to my location ,A because it looks to be closer in proximity than B,A because it's closer to my location ,B because it's closer to my location ,B because I made a random choice sincr both look equally far away,A because it looks closer,A because I just picked one randomly. There's nothing that would persuade me to pick one over the other. ,A because it's closer to my location ,B because it looks like it's closer to my location 
4/18/2024 16:35:20,5d3e7bf5179a93001b051972,"B, because it looks easier to get to","A, because it looks a little easier to get to","A, because it looks easier to get to ","B, because it looks easier to get to","B, because it looks easier to get to ","B, because it's closer to me ","A, because it's closer to me ","A, because it's closer to me ","B, because it's closer to me","B, because it's closer to me","A, because it looks easier to get to ","B, because it looks like it's easier to get to","B, because it looks easier to get to ","B, because it's a lot closer to me"
4/18/2024 16:36:02,644149a38a0d3ec2b79996e6,"B, because it is easier to get to","B, because it is easier to get to","B, because it is easier to get to","B, because it is easier to get to","B, because it is easier to get to.","B, because it is easier to get to","B, because it is easier to get to","A, because it is eacier to get to","B, because it is easier to get to and closer","B, because it is easier to get to","B, because it is easier to get to","B, because as it is closer/easier to get to","B, because it is easier to get to","B, because it is closer"
4/18/2024 16:36:10,6602f618c8cc2432f1222969,B because it’s close ,B because the route ,B because of the road ,B because of the roads,B because of the road ,B because it’s close ,B because the route ,A because it’s close ,B because it’s closer ,B because it’s close ,B because it’s close ,B because it’s close ,B because of the direct route ,B because it’s closer 
4/18/2024 16:38:11,65f34dc4b5fa898f02380970,B because it looks closer ,A because it looks closer ,B because it looks closer ,A because se it looks more closer ,B because it looks closer ,B because it looks closer ,A because it looks closer ,A because B because it looks closer it looks closer ,B because it looks closer ,B because it looks closer ,A because it's way closer ,B because it looks closer ,B because it looks closer ,B because it looks a lot closer 
4/18/2024 16:40:54,6292289391b6a2c1033653c8,"A, because it may be closer.","B, because it avoids the tricky interchange.","B, because it's way closer and more easily reachable.","B, because it's closer and avoids the tricky interchange.","A, because it's a bit easier to reach.","B, because it's way closer and more easily reachable.","B, because it's more easily reachable with a straight show over a bridge.","A, because it's somewhat closer even with the tricky interchange at the river.","B, because it's closer.","B, because it's a bit closer and more easily reachable.","A, because it's somewhat closer.","B, because it avoids the tricky interchange.","B, because it avoids the tricky interchange, though it's almost a toss-up.","B, because it is much closer."
4/18/2024 17:00:41,5d69f2684dd8030015e0407b,a because it feels less distant,a because it seems more near,b because it feels closer due to being at the bottom,a because it seems closer,b because it feels closer,b because it is closer,a because it seems like a shorter drive,a because it feels closer,b because of the distance,b because it feels closer,a because it seems shorter,a because it seems closer to me,a because it FEEL closer,b because its near by
